bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,MREL Ratio_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,MREL Ratio_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed,MREL Ratio_imputed
ABC INTERNATIONAL BANK,149025,1,low CET1 Ratio / low Total Capital Ratio,0,14.9,14.9,16.2,9.7,250.1,125.7,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ACCESS BANK UK,478415,1,low CET1 Ratio / low Total Capital Ratio,0,20.18,20.18,20.18,15.9,365.6,168.6,26.62,FY2024,FY2024,FY2024,FY2023,FY2023,FY2023,,0,0,0,0,0,0,1
AFIN BANK,1004742,0,high CET1 Ratio / high Total Capital Ratio,0,418.5,418.5,418.5,87.4,999999.0,492.2,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
AIB GROUP UK,122088,1,low CET1 Ratio / low Total Capital Ratio,0,26.8,28.64,31.0,11.26,216.0,157.0,26.62,FY2025,FY2025,FY2025,FY2021,FY2025,FY2025,,0,0,0,0,0,0,1
ALDERMORE,204503,1,low CET1 Ratio / low Total Capital Ratio,0,17.7,18.3,22.0,9.0,164.6,125.4,26.62,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,,0,0,0,0,0,0,1
ALLICA,821851,1,low CET1 Ratio / low Total Capital Ratio,0,13.4,15.3,16.8,7.3,220.8,138.8,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ALRAYAN BANK,229148,1,low CET1 Ratio / low Total Capital Ratio,0,15.45,15.65,15.82,7.6,481.0,151.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ARAB BANK EUROPE,446951,1,low CET1 Ratio / low Total Capital Ratio,0,16.0,15.5,23.0,11.7,218.0,120.0,26.62,FY2024,FY2022,FY2024,FY2022,FY2022,FY2022,,0,0,0,0,0,0,1
ARBUTHNOT LATHAM,143336,1,low CET1 Ratio / low Total Capital Ratio,0,13.26,13.26,15.38,5.29,190.0,152.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ATOM BANK,661960,1,low CET1 Ratio / low Total Capital Ratio,0,15.0,15.0,17.1,5.0,418.6,171.2,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
