bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
ABC INTERNATIONAL BANK,149025,0,low Tier 1 Ratio / low CET1 Ratio,0,16.2,16.2,17.7,10.2,339.1,129.8,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
ACCESS BANK UK,478415,0,low Tier 1 Ratio / low CET1 Ratio,0,22.4,22.4,22.4,15.9,365.6,168.6,FY2023,FY2023,FY2023,FY2023,FY2023,FY2023,0,0,0,0,0,0
AFIN BANK,1004742,1,high Tier 1 Ratio / high CET1 Ratio,0,418.5,418.5,418.5,87.4,999999.0,492.2,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
AIB GROUP UK,122088,0,low Tier 1 Ratio / low CET1 Ratio,0,26.8,28.64,31.0,11.26,216.0,157.0,FY2025,FY2025,FY2025,FY2021,FY2025,FY2025,0,0,0,0,0,0
ALDERMORE,204503,0,low Tier 1 Ratio / low CET1 Ratio,0,18.4,19.1,20.5,8.9,189.2,131.3,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ALLICA,821851,0,low Tier 1 Ratio / low CET1 Ratio,0,13.4,15.3,16.8,7.3,220.8,138.8,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ALRAYAN BANK,229148,0,low Tier 1 Ratio / low CET1 Ratio,0,15.95,16.15,17.19,7.7,523.0,161.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
ARBUTHNOT LATHAM,143336,0,low Tier 1 Ratio / low CET1 Ratio,0,13.15,13.15,15.28,6.12,175.0,132.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
ATOM BANK,661960,0,low Tier 1 Ratio / low CET1 Ratio,0,15.0,15.0,17.1,5.0,418.6,171.2,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK OF AFRICA UK,454750,0,low Tier 1 Ratio / low CET1 Ratio,0,17.46,17.46,24.03,17.67,212.0,173.0,FY2025,FY2025,FY2025,FY2024,FY2025,FY2025,0,0,0,0,0,0
BANK OF BEIRUT UK,219523,1,high Tier 1 Ratio / high CET1 Ratio,0,37.49,37.49,41.93,20.42,316.67,310.42,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK OF CEYLON UK,514744,0,low Tier 1 Ratio / low CET1 Ratio,0,20.1,20.1,21.7,14.3,131.0,185.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK OF CHINA UK,467410,0,low Tier 1 Ratio / low CET1 Ratio,0,27.2,33.2,33.2,24.4,324.1,194.4,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK OF IRELAND UK,512956,0,low Tier 1 Ratio / low CET1 Ratio,0,19.6,21.4,23.7,9.0,161.0,135.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK OF SCOTLAND,169628,0,low Tier 1 Ratio / low CET1 Ratio,0,13.5,16.6,18.4,4.3,287.0,153.75,FY2025,FY2025,FY2025,FY2025,,,0,0,0,0,1,1
BANK OF THE PHILIPPINE ISLANDS EUROPE,455378,1,high Tier 1 Ratio / high CET1 Ratio,0,56.29,56.29,56.29,51.22,206.0,154.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BANK SADERAT,204488,1,high Tier 1 Ratio / high CET1 Ratio,0,331.0,331.0,331.0,9.8,477.0,153.75,FY2025,FY2025,FY2025,,FY2025,,0,0,0,1,0,1
BARCLAYS,759676,0,low Tier 1 Ratio / low CET1 Ratio,0,14.5,17.1,20.0,5.2,186.6,152.4,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BARCLAYS BANK PLC,122702,0,low Tier 1 Ratio / low CET1 Ratio,0,12.7,16.1,19.0,5.8,149.7,113.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BIRMINGHAM BANK,204478,1,high Tier 1 Ratio / high CET1 Ratio,0,76.0,76.0,76.0,24.0,725.0,153.75,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,1
BLME,464292,0,low Tier 1 Ratio / low CET1 Ratio,0,19.29,19.29,19.29,14.95,308.0,121.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
