url	kind	is_pdf	cited_by
http://	live	-	build_persia_international_bank.py:-;build_persia_international_bank.py:LINK_PROVENANCE
http://mcafundingforchurches.co.uk/sitefiles/resources/pdf/pillar3disclosures2019.pdf	live	pdf	build_methodist_chapel_aid.py:-;build_methodist_chapel_aid.py:P3_2019_DEAD;build_methodist_chapel_aid.py:RWA_BREAKDOWN_SOURCES
http://sbiuk.statebank/documents/274771/0/SBIUK+Ltd+-+Annual+Report+++2024.pdf/80699e7d-ba2e-8cc6-6726-f8bc7058261f?t=1730125796286	live	-	build_state_bank_of_india_uk.py:-;build_state_bank_of_india_uk.py:FS2024
http://web.archive.org/cdx/search/cdx?url=mcafundingforchurches.co.uk&output=json&matchType=domain&collapse=urlkey&limit=5000	archive	-	build_methodist_chapel_aid.py:-
http://web.archive.org/web/20160316221826id_/http://www.persiabank.co.uk/Pillar3_disclosures_March%202015.pdf	archive	pdf	build_persia_international_bank.py:-;build_persia_international_bank.py:FY2015_P3_NOTE;build_persia_international_bank.py:PILLAR3_2015_URL
http://web.archive.org/web/20160826052010id_/http://www.zenith-bank.co.uk/uploads/ZBL_Pillar_3_Disclosure_Document_2014.pdf	archive	pdf	build_zenith.py:-;build_zenith.py:P3_2014_URL
http://web.archive.org/web/20161024202355id_/http://www.persiabank.co.uk/Pillar%203%20Disclosure%20as%20at%2031%20March%202016.pdf	archive	pdf	build_persia_international_bank.py:-;build_persia_international_bank.py:PILLAR3_2016_URL
http://web.archive.org/web/20161128044735id_/http://www.zenith-bank.co.uk/uploads/ZBL_Pillar_3_Disclosure_Document_2015.pdf	archive	pdf	build_zenith.py:-;build_zenith.py:P3_2015_URL
http://web.archive.org/web/20180902131909id_/http://www.persiabank.co.uk/Pillar%203%20Disclosure%20as%20at%2031_03_2018%20(final).pdf	archive	pdf	build_persia_international_bank.py:-;build_persia_international_bank.py:PILLAR3_2018_URL
http://web.archive.org/web/20200929085826id_/https://chetwood.co/static/ea27728be3ae831ddb0ef7888e332546/Pillar3Disclosures.pdf	archive	pdf	build_chetwood.py:-;build_chetwood.py:P3_20_URL;build_chetwood.py:RWA_BREAKDOWN_SOURCES
http://web.archive.org/web/20210830132929id_/https://chetwood.co/static/3d0ade6e892213e246ca03dc1d84b417/AnnualReport.pdf	archive	pdf	build_chetwood.py:-;build_chetwood.py:AR21_URL;build_chetwood.py:CASH_FLOW_SOURCES
http://web.archive.org/web/20211128171331id_/https://chetwood.co/static/221a3946677e4d8c49c5525d22f9b534/Pillar3Disclosures.pdf	archive	pdf	build_chetwood.py:-;build_chetwood.py:P3_21_URL;build_chetwood.py:RWA_BREAKDOWN_SOURCES
http://web.archive.org/web/20220125010012id_/http://www.persiabank.co.uk/Pillar%203%202020%20v7.pdf	archive	pdf	build_persia_international_bank.py:-;build_persia_international_bank.py:PILLAR3_2020_URL
