finding_id,mode,frn,bank,metric,fiscal_year,value,reason,comparability_status,interpretation
broad:1004742:CET1 Ratio:2024,broad,1004742,AFIN BANK,CET1 Ratio,2024,418.5,level above 95th percentile; robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:114724:CET1 Ratio:2025,broad,114724,RBS,CET1 Ratio,2025,11.0,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:121878:CET1 Ratio:2025,broad,121878,NATIONAL WESTMINSTER BANK PLC,CET1 Ratio,2025,11.2,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:122287:CET1 Ratio:2025,broad,122287,COUTTS,CET1 Ratio,2025,11.4,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:122702:CET1 Ratio:2025,broad,122702,BARCLAYS BANK PLC,CET1 Ratio,2025,12.7,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124269:CET1 Ratio:2025,broad,124269,CREDIT SUISSE UK,CET1 Ratio,2025,191.0,level above 95th percentile; robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124579:CET1 Ratio:2025,broad,124579,JP MORGAN EUROPE,CET1 Ratio,2025,249.23,level above 95th percentile; robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124823:CET1 Ratio:2025,broad,124823,ICBC STANDARD BANK PLC,CET1 Ratio,2025,12.2,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:144036:CET1 Ratio:2022,broad,144036,EFG PRIVATE BANK,CET1 Ratio,2022,10.9,level below 5th percentile,broad-only,deterministic review prompt; inspect source before conclusion
broad:146702:CET1 Ratio:2025,broad,146702,CREDIT SUISSE INTERNATIONAL,CET1 Ratio,2025,146.9,level above 95th percentile; robust level score at least 3.5; year-over-year movement above 95th percentile,broad-only,deterministic review prompt; inspect source before conclusion
broad:165556:CET1 Ratio:2025,broad,165556,TD BANK EUROPE,CET1 Ratio,2025,158.0,level above 95th percentile; robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:178737:CET1 Ratio:2025,broad,178737,CATER ALLEN,CET1 Ratio,2025,78.2,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:183100:CET1 Ratio:2025,broad,183100,BNY MELLON INTERNATIONAL,CET1 Ratio,2025,104.22,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:195430:CET1 Ratio:2025,broad,195430,MORGAN STANLEY BANK INTERNATIONAL,CET1 Ratio,2025,42.6,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204478:CET1 Ratio:2024,broad,204478,BIRMINGHAM BANK,CET1 Ratio,2024,76.0,robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204488:CET1 Ratio:2025,broad,204488,BANK SADERAT,CET1 Ratio,2025,331.0,level above 95th percentile; robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:204508:CET1 Ratio:2023,broad,204508,METHODIST CHAPEL AID,CET1 Ratio,2023,52.88,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204532:CET1 Ratio:2025,broad,204532,PHILIPPINE NATIONAL BANK EUROPE,CET1 Ratio,2025,127.55,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:207380:CET1 Ratio:2024,broad,207380,MELLI BANK,CET1 Ratio,2024,55.0,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:208019:CET1 Ratio:2025,broad,208019,BANK SEPAH INTERNATIONAL,CET1 Ratio,2025,102.7,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:222030:CET1 Ratio:2025,broad,222030,ICBC (LONDON) PLC,CET1 Ratio,2025,81.09,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:455378:CET1 Ratio:2025,broad,455378,BANK OF THE PHILIPPINE ISLANDS EUROPE,CET1 Ratio,2025,56.29,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:604551:CET1 Ratio:2025,broad,604551,PARAGON,CET1 Ratio,2025,12.6,level below 5th percentile,broad-only,deterministic review prompt; inspect source before conclusion
broad:695048:CET1 Ratio:2024,broad,695048,UBA UK,CET1 Ratio,2024,49.04,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:730427:CET1 Ratio:2025,broad,730427,MONZO,CET1 Ratio,2025,55.92,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:754568:CET1 Ratio:2025,broad,754568,CLEARBANK,CET1 Ratio,2025,49.75,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:805574:CET1 Ratio:2023,broad,805574,CITIBANK UK,CET1 Ratio,2023,72.7,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:930379:CET1 Ratio:2025,broad,930379,THE BANK OF LONDON GROUP,CET1 Ratio,2025,82.94,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:956138:CET1 Ratio:2025,broad,956138,PERENNA,CET1 Ratio,2025,48.0,robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:970920:CET1 Ratio:2023,broad,970920,GRIFFIN BANK,CET1 Ratio,2023,456.0,level above 95th percentile; robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:1004742:Tier 1 Ratio:2024,broad,1004742,AFIN BANK,Tier 1 Ratio,2024,418.5,level above 95th percentile; robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124269:Tier 1 Ratio:2025,broad,124269,CREDIT SUISSE UK,Tier 1 Ratio,2025,191.0,level above 95th percentile; robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124579:Tier 1 Ratio:2025,broad,124579,JP MORGAN EUROPE,Tier 1 Ratio,2025,249.23,level above 95th percentile; robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:124823:Tier 1 Ratio:2025,broad,124823,ICBC STANDARD BANK PLC,Tier 1 Ratio,2025,13.3,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:143336:Tier 1 Ratio:2024,broad,143336,ARBUTHNOT LATHAM,Tier 1 Ratio,2024,13.15,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:144036:Tier 1 Ratio:2022,broad,144036,EFG PRIVATE BANK,Tier 1 Ratio,2022,10.9,level below 5th percentile,broad-only,deterministic review prompt; inspect source before conclusion
broad:146702:Tier 1 Ratio:2025,broad,146702,CREDIT SUISSE INTERNATIONAL,Tier 1 Ratio,2025,146.9,robust level score at least 3.5; year-over-year movement above 95th percentile,broad-only,deterministic review prompt; inspect source before conclusion
broad:165556:Tier 1 Ratio:2025,broad,165556,TD BANK EUROPE,Tier 1 Ratio,2025,158.0,level above 95th percentile; robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:178737:Tier 1 Ratio:2025,broad,178737,CATER ALLEN,Tier 1 Ratio,2025,78.2,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:183100:Tier 1 Ratio:2025,broad,183100,BNY MELLON INTERNATIONAL,Tier 1 Ratio,2025,104.22,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:195430:Tier 1 Ratio:2025,broad,195430,MORGAN STANLEY BANK INTERNATIONAL,Tier 1 Ratio,2025,42.6,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204478:Tier 1 Ratio:2024,broad,204478,BIRMINGHAM BANK,Tier 1 Ratio,2024,76.0,robust level score at least 3.5; year-over-year movement above 95th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204488:Tier 1 Ratio:2025,broad,204488,BANK SADERAT,Tier 1 Ratio,2025,331.0,level above 95th percentile; robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:204508:Tier 1 Ratio:2023,broad,204508,METHODIST CHAPEL AID,Tier 1 Ratio,2023,52.88,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:204532:Tier 1 Ratio:2025,broad,204532,PHILIPPINE NATIONAL BANK EUROPE,Tier 1 Ratio,2025,127.55,robust level score at least 3.5,broad-only,deterministic review prompt; inspect source before conclusion
broad:204550:Tier 1 Ratio:2025,broad,204550,SECURE TRUST BANK,Tier 1 Ratio,2025,12.9,level below 5th percentile,broad-comparable,deterministic review prompt; inspect source before conclusion
broad:207380:Tier 1 Ratio:2024,broad,207380,MELLI BANK,Tier 1 Ratio,2024,55.0,robust level score at least 3.5,broad-comparable,deterministic review prompt; inspect source before conclusion
