frn,bank,metric,fiscal_year,value_numeric,unit,reporting_basis,context_status,context_id,context_value,distance,reason,source
149025,ABC International Bank Plc,CET1 Capital,2025,,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,CET1 Capital,2024,564.579,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,CET1 Capital,2023,547.665,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,CET1 Capital,2022,416.5,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,CET1 Capital,2021,418.8,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,CET1 Ratio,2025,,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,CET1 Ratio,2024,16.2,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,CET1 Ratio,2023,17.6,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,CET1 Ratio,2022,17.0,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,CET1 Ratio,2021,16.7,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Tier 1 Capital,2025,,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Tier 1 Capital,2024,564.579,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Tier 1 Capital,2023,547.665,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Tier 1 Capital,2022,416.5,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Tier 1 Capital,2021,418.8,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Tier 1 Ratio,2025,,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Tier 1 Ratio,2024,16.2,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Tier 1 Ratio,2023,17.6,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Tier 1 Ratio,2022,17.0,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Tier 1 Ratio,2021,16.7,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total Capital,2025,,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total Capital,2024,616.448,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total Capital,2023,598.786,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total Capital,2022,447.0,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total Capital,2021,460.0,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total Capital Ratio,2025,,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total Capital Ratio,2024,17.7,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total Capital Ratio,2023,19.3,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total Capital Ratio,2022,18.2,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total Capital Ratio,2021,18.3,,,context_unavailable,,,,observation unit does not match percentage context,
149025,ABC International Bank Plc,Total RWAs,2025,,,,context_unavailable,,,,no dated context record for metric/period,
149025,ABC International Bank Plc,Total RWAs,2024,3486.256,,,context_unavailable,,,,no dated context record for metric/period,
